Resource Type,Resource Name,Subject/Criteria,Age Group,Grades,Organizer,Organizer Location,Eligibility,Brief Description,Link to Resource,Minimum Grade,Maximum Grade,Organizer Country,Area,Broad Area ,RESOURCE CATEGORY,SNO.
"Video Lessons, Articles",BBC Bitesize (History),"History, Social Studies",7-18,2-12,BBC,UK,Open,Engaging lessons on world history and social studies for different age groups.,https://www.bbc.co.uk/bitesize,2,12,UK,Humanities,"Social Sciences & Philosophy- Social Studies, Law, Psychology, Economics, Business, Philosophy",FREE LEARNING AND ENRICHMENT RESOURCES,63
Animated Videos,BrainPOP,Multiple K-12,5-14,k-8,BrainPOP,Online,Subscription-based,"Animated educational videos covering subjects like science, social studies, and more.",https://www.brainpop.com,0,8,USA,"STEM, Humanities, Arts",Multiple Areas K-12 ,FREE LEARNING AND ENRICHMENT RESOURCES,64
Interactive Tools,Chrome Music Lab,Music,5-18,K-12,Google,Online,Open,"Fun, interactive experiments for learning music fundamentals.",https://musiclab.chromeexperiments.com,0,12,USA,Arts,"Arts- Visual Arts, Performing Arts, Music",FREE LEARNING AND ENRICHMENT RESOURCES,65
"Challenges, Coding Problems",Code Wars,"Computer Science, Programming",12-18,7-12,Code Wars,Online,Open,Offers real coding challenges in multiple programming languages.,https://www.codewars.com,7,12,USA,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,66
Video Lessons,Crash Course,Science,5-18,K-12,"Hank Green, John Green",YouTube,Open to all,Engaging videos on various science topics from biology to chemistry and physics,https://www.youtube.com/user/crashcourse,0,12,USA,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,72
Documentary Videos,CuriosityStream,"Documentaries, General Knowledge",5-18,k-12,CuriosityStream,Online,Open to all,A video streaming platform offering educational documentaries (free with trials),https://curiositystream.com,0,12,USA,General Knowledge,"Cultural & Language Programs- Indigenous Studies, Language Learning, Cultural Exchange",FREE LEARNING AND ENRICHMENT RESOURCES,75
Interactive Tools,Desmos,Mathematics,5-18,K-12,Desmos,Online,Open to all,An interactive graphing calculator with additional math resources and challenges,https://www.desmos.com,0,12,USA,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,76
Interactive Lessons,Code.org,"Technology, Coding",5-18,K-12,Code.org,USA,Open to all,Offers free coding tutorials for all ages with beginner-friendly resources,https://code.org,0,12,USA,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,77
Online Games,CodinGame,"Computer Science, Gaming",5-18,K-12,CodinGame,France,Open to all,Combines coding and gaming to improve skills,https://www.codingame.com,0,12,France,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,78
"Reading Passages, Assessments",CommonLit,"Reading, Language Arts",5-18,K-12,CommonLit,USA,Open to all,A library of free reading passages with integrated assessments for K-12,https://www.commonlit.org,0,12,USA,Humanities,"Cultural & Language Programs- Indigenous Studies, Language Learning, Cultural Exchange",FREE LEARNING AND ENRICHMENT RESOURCES,79
Video Lessons,Computerphile,"Mathematics, Technology",5-18,K-12,Brady Haran,UK,Open to all,Focuses on the mathematics behind computers and technology,https://www.youtube.com/user/Computerphile,0,12,UK,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,80
"Games, Tutorials",Coolmath4kids,Mathematics,5-15,K-8,Coolmath,USA,Open to all,Math games and tutorials for younger students,https://www.coolmath4kids.com,0,8,USA,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,81
Video Lessons,CrashCourse (History),History,5-18,K-12,"John Green, Hank Green",USA,Open to all,"In-depth lessons on world history, U.S. history, and economics",https://thecrashcourse.com,0,12,USA,Humanities,"Social Sciences- Social Studies, Law, Psychology, Economics, Business",ENRICHMENT/ALTERNATIVE COURSES AND PROGRAMS ,83
"Video Lessons, Coursework",CS50 (Harvard),"Computer Science, Programming",14-18,9-12,Harvard University,USA,Open to all,High-quality content for advanced students interested in computer science,https://cs50.harvard.edu,9,12,USA,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",ENRICHMENT/ALTERNATIVE COURSES AND PROGRAMS ,84
Digital Library,Digital Public Library of America,"History, Primary Sources",12-18,6-12,Digital Public Library of America,USA,Open to all,"Access to millions of historical documents, images, and texts",https://dp.la/,6,12,USA,Humanities,"Social Sciences- Social Studies, Law, Psychology, Economics, Business",FREE LEARNING AND ENRICHMENT RESOURCES,87
Online Platform,DMOJ (Modern Online Judge),"Computer Science, Programming",12-18,8-12,DMOJ,Canada,Open to all,Platform for competitive programming with challenges like CCC,https://dmoj.ca/,8,12,Canada,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,88
Video Lessons,Dr. Mike,"Health, Medicine",12-18,8-12,Dr. Mike,USA,Open to all,"Health, fitness, and medical advice backed by science",https://www.youtube.com/c/DoctorMike,8,12,USA,Health,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,89
Interactive Lessons,Drawspace,Arts,5-18,K-12,Drawspace,USA,Open to all,Free lessons for learning drawing techniques,https://www.drawspace.com/,0,12,USA,Arts,"Arts- Visual Arts, Performing Arts, Music",FREE LEARNING AND ENRICHMENT RESOURCES,90
Digital Library,Epic!,"Reading, Literature",5-12,k-7,Epic! Creations,USA,Ages 5-12,Free access to a vast library of children's books (up to age 12),https://www.getepic.com/,0,7,USA,Humanities,"Cultural & Language Programs- Indigenous Studies, Language Learning, Cultural Exchange",FREE LEARNING AND ENRICHMENT RESOURCES,91
Interactive Activities,Hour of Code,Computer Science,8-18,3-12,Code.org,USA,Ages 8-18,Short coding activities designed to introduce kids to programming,https://hourofcode.com/,3,12,USA,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,92
Interactive Games,iCivics,"Civics, Social Studies",5-18,K-12,iCivics,USA,Open to all,Interactive games and resources focused on civics education,https://www.icivics.org/,0,12,USA,Humanities,"Social Sciences & Philosophy- Social Studies, Law, Psychology, Economics, Business, Philosophy",FREE LEARNING AND ENRICHMENT RESOURCES,93
Practice Questions,IXL (Free Sections),Mathematics,5-18,K-12,IXL Learning,USA,Open to all,Offers free practice questions for K-12 math topics,https://www.ixl.com/,0,12,USA,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,94
Video Lessons,Khan Academy (Art History),Art History,12-18,6-12,Khan Academy,USA,Open to all,Lessons covering art history from ancient to modern times,https://www.khanacademy.org/humanities/art-history,6,12,USA,Arts,"Cultural & Language Programs- Indigenous Studies, Language Learning, Cultural Exchange",FREE LEARNING AND ENRICHMENT RESOURCES,95
Interactive coding tutorials,Khan Academy (Computer Science),"Computer Science, Programming",12-18,6-12,Khan Academy,Online,Open to all,Interactive coding tutorials in JavaScript and Processing.js,https://www.khanacademy.org/computing,6,12,USA,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,97
Video Lessons,Khan Academy (History and Social Studies section),"History, Social Studies",12-18,6-12,Khan Academy,Online,Open to all,"Offers lessons on world history, U.S. history, government, and civics",https://www.khanacademy.org/humanities,6,12,USA,Humanities,"Social Sciences & Philosophy- Social Studies, Law, Psychology, Economics, Business, Philosophy",FREE LEARNING AND ENRICHMENT RESOURCES,98
Video Lessons,Khan Academy (Math section),Mathematics,5-18,K-12,Khan Academy,Online,Open to all,Offers lessons from basic arithmetic to advanced calculus,https://www.khanacademy.org/math,0,12,USA,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,99
Video Lessons,Khan Academy (Science section),Science,5-18,K-12,Khan Academy,Online,Open to all,Comprehensive science lessons for all ages,https://www.khanacademy.org/science,0,12,USA,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,100
Video Lessons,Kurzgesagt – In a Nutshell,"Science, Philosophy",12-18,8-12,Kurzgesagt Team,Online,Open to all,High-quality animations explaining complex science and philosophy topics,https://www.youtube.com/c/inanutshell,8,12,Germany,"STEM, Humanities","STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,101
Video Lessons,LegalEagle,"Law, Social Studies",15-18,8-12,Devin Stone,Online,Open to all,Teaches legal concepts using popular movies and real-life cases,https://www.youtube.com/c/LegalEagle,8,12,USA,Humanities,"Social Sciences- Social Studies, Law, Psychology, Economics, Business",FREE LEARNING AND ENRICHMENT RESOURCES,102
Video Lessons,Mark Rober,Science,12-18,8-12,Mark Rober,Online,Open to all,Fun and educational science and technology videos,https://www.youtube.com/c/MarkRober,8,12,USA,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,103
App Development,MIT App Inventor,"Computer Science, App Development",11-18,6-12,MIT,Online,Open to all,Visual programming platform for building mobile apps,https://appinventor.mit.edu,6,12,USA,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,104
Interactive Tools,MusicTheory.net,Music,11-18,6-12,MusicTheory.net,Online,Open to all,Free lessons and exercises on the fundamentals of music theory,https://www.musictheory.net,6,12,USA,Humanities,"Arts- Visual Arts, Performing Arts, Music",FREE LEARNING AND ENRICHMENT RESOURCES,105
Interactive Lessons,NASA for Students,"Space Science, Technology",5-18,K-12,NASA,Online,Open to all,"Educational resources on space, science, and technology for all grade levels",https://www.nasa.gov/students,0,12,USA,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,106
"Articles, Videos, Games",National Geographic Kids,"Environmental Science, Geography, Biology",8-12,k-7,National Geographic,USA,Open to all,"Articles, videos, and games focused on environmental science, geography, and biology.",https://kids.nationalgeographic.com/,0,7,USA,STEM,"Environmental & Natural Sciences- Environmental Science, Ecology, Nature Studies, Agriculture/Food Science",FREE LEARNING AND ENRICHMENT RESOURCES,107
"Articles, Comprehension Quizzes",Newsela,"Reading, Nonfiction",5-18,K-12,Newsela Inc.,USA,Open to all,Engages students with nonfiction articles adjusted to their reading level.,https://newsela.com/,0,12,USA,Humanities,"Cultural & Language Programs- Indigenous Studies, Language Learning, Cultural Exchange",FREE LEARNING AND ENRICHMENT RESOURCES,108
Video Lessons,Numberphile,Mathematics,12-18,8-12,Brady Haran,USA,Open to all,"Explores unique and engaging math problems, like the story behind famous numbers and paradoxes.",https://www.numberphile.com/,8,12,USA,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,109
Interactive Simulations,PhET Interactive Simulations,"Mathematics, Science",5-18,k-12,University of Colorado Boulder,USA,Open to all,Provides free interactive math and science simulations.,https://phet.colorado.edu/,0,12,USA,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,110
"Games, Interactive Learning",Prodigy,Mathematics,5-12,k-6,Prodigy Education,Canada,Open to all,A game-based learning platform that covers various math topics.,https://www.prodigygame.com/,0,6,Canada,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,111
"eBooks, Text",Project Gutenberg,"English, Literature",13-18,8-12,Various Authors,Global,Open to all,Free access to thousands of classical literature works.,https://www.gutenberg.org/,8,12,USA,Humanities,"Cultural & Language Programs- Indigenous Studies, Language Learning, Cultural Exchange",FREE LEARNING AND ENRICHMENT RESOURCES,112
"Interactive Tools, Lesson Plans",ReadWriteThink,"English, Language Arts",5-18,K-12,IRA/NCTE,USA,Open to all,"Lesson plans, interactive tools, and resources for reading and writing.",https://www.readwritethink.org/,0,12,USA,Humanities,"Cultural & Language Programs- Indigenous Studies, Language Learning, Cultural Exchange",FREE LEARNING AND ENRICHMENT RESOURCES,113
"Activities, Lessons",Scholastic Learn at Home,"Reading, Writing",5-18,K-12,Scholastic,USA,Open to all,Free resources for reading and writing activities at various grade levels.,https://classroommagazines.scholastic.com/support/learnathome.html,0,12,USA,Humanities,"Cultural & Language Programs- Indigenous Studies, Language Learning, Cultural Exchange",FREE LEARNING AND ENRICHMENT RESOURCES,114
Interactive Platform,Scratch,"Computer Science, Programming",5-12,k-7,MIT,USA,Open to all,A visual programming language perfect for young learners.,https://scratch.mit.edu/,0,7,USA,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,115
Video Lessons,SmarterEveryDay,"Science, Curiosity",15-18,8-12,Destin Sandlin,USA,Open to all,Explores everyday phenomena through scientific analysis.,https://www.youtube.com/user/destinws2,8,12,USA,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,116
Video Lessons,Stuff Made Here,"Engineering, Technology",15-18,9-12,Shane Wighton,Online,Open,Engineering marvels and inventions that inspire critical thinking in tech,https://www.youtube.com/channel/UCj1VqrHhDte54oLgPG4xpuQ,9,12,Online,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,117
Video Lessons,TED-Ed,"English, Language Arts",5-18,k-12,TED,Online,Open,"Covers language, literature, and grammar with creative lessons",https://ed.ted.com/,0,12,Online,Humanities,"Cultural & Language Programs- Indigenous Studies, Language Learning, Cultural Exchange",FREE LEARNING AND ENRICHMENT RESOURCES,118
Video Lessons,Tom Scott,"History, Technology, Cultural Education",15-18,9-12,Tom Scott,Online,Open,"Explores lesser-known aspects of history, technology, and culture",https://www.youtube.com/user/enyay,9,12,Online,Humanities,"Social Sciences & Philosophy- Social Studies, Law, Psychology, Economics, Business, Philosophy",FREE LEARNING AND ENRICHMENT RESOURCES,119
Video Lessons,Veritasium,Science,12-18,7-12,Derek Muller,Online,Open,Explores complex scientific topics with experiments and interviews,https://www.youtube.com/user/1veritasium,7,12,Online,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,120
Interactive Tutorials,VexCode VR,"Robotics, Coding",8-18,3-12,Vex Robotics,Online,Open,Introduces coding through virtual robots,https://vr.vex.com/,3,12,Online,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,121
Video Lessons,Vsauce,"Science, Philosophy, Psychology",12-18,7-12,Michael Stevens,Online,Open,"Deep dives into scientific, philosophical, and psychological topics",https://www.youtube.com/user/Vsauce,7,12,Online,"STEM, Humanities","STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,122
Video Lessons,Vsauce,"Philosophy, Science",15-18,9-12,Michael Stevens,Online,Open,"Delves into philosophical questions, science, and quirky topics",https://www.youtube.com/user/Vsauce,9,12,Online,"STEM, Humanities","STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,123
"Tutorials, Exercises",W3Schools,"Computer Science, Web Development",12-18,7-12,W3Schools,Online,Open,Self-guided tutorials for advanced programming languages,https://www.w3schools.com/,7,12,Online,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming",FREE LEARNING AND ENRICHMENT RESOURCES,124
"Articles, Q&A",Wonderopolis,General Knowledge,5-18,K-12,Wonderopolis,Online,Open,A website for curious kids to explore daily questions and answers about the world,https://wonderopolis.org/,0,12,Online,General Knowledge,"Leadership & Personal Development- Leadership, Community Service, Financial Literacy, Entrepreneurship, Career Preparation, Strategic Thinking & Problem Solving",FREE LEARNING AND ENRICHMENT RESOURCES,125
"Articles, Videos",Historica Canada,"History, Culture",5-18,K-12,Historica Canada,Canada,Open to all,"Offers a variety of resources including videos, articles, and quizzes on Canadian history and culture.",https://www.historicacanada.ca,0,12,Canada,Humanities,"Social Sciences & Philosophy- Social Studies, Law, Psychology, Economics, Business, Philosophy",FREE LEARNING AND ENRICHMENT RESOURCES,126
Interactive Learning,Starfall,Multiple K-12,5-8,K-3,Starfall Education Foundation,United States,Open to all,Provides interactive literacy activities focused on reading and phonics for young children.,https://www.starfall.com,0,3,United States,Literacy,"Cultural & Language Programs- Indigenous Studies, Language Learning, Cultural Exchange",FREE LEARNING AND ENRICHMENT RESOURCES,127
Interactive Games and Videos,PBS Kids,Multiple K-12,4-10,k-5,PBS Kids,United States,Open to all,"Hosts games and videos on various subjects, targeting younger children with engaging educational content.",https://pbskids.org,0,5,United States,Various Subjects,Multiple Areas K-12 ,FREE LEARNING AND ENRICHMENT RESOURCES,128
Educational Videos,TeacherTube,Multiple K-12,5-18,K-12,TeacherTube,United States,Teachers and Students,A platform for educational videos made for teachers and students across various subjects.,https://www.teachertube.com,0,12,United States,Various Subjects,Multiple Areas K-12 ,FREE LEARNING AND ENRICHMENT RESOURCES,129
Critical Thinking and Ethics,Philosophy for Children (P4C),"Critical Thinking, Ethics",11-18,6-12,Philosophy for Children,United Kingdom,Open to all,Focuses on fostering critical thinking and philosophical discussions among students.,https://www.p4c.org,6,12,United Kingdom,Humanities,"Cultural & Language Programs- Indigenous Studies, Language Learning, Cultural Exchange",FREE LEARNING AND ENRICHMENT RESOURCES,130
Lesson Plans and Resources,Edutopia,Multiple K-12,5-18,K-12,Edutopia,United States,Teachers,"Contains resources, articles, and lesson plans aimed at enhancing teaching practices.",https://www.edutopia.org,0,12,United States,Teacher Resources,Multiple Areas K-12 ,FREE LEARNING AND ENRICHMENT RESOURCES,131
Curriculum-specific resources,BC Digital Classroom,Curriculum Resources,5-18,K-12,BC Ministry of Education,"British Columbia, Canada",BC students,Curriculum-specific digital resources for students and teachers in British Columbia.,https://www.openschool.bc.ca,0,12,Canada,"STEM, Humanities",Multiple Areas K-12 ,FREE LEARNING AND ENRICHMENT RESOURCES,132
Club,4-H Canada,"Community Engagement, Leadership",5-18,K-12,4-H Canada,Various locations in BC,Open to all youth,"Provides opportunities for youth to develop leadership, citizenship, and life skills through hands-on projects and activities.",https://4-h-canada.ca/,0,12,Canada,Leadership,"Leadership & Personal Development- Leadership, Community Service, Financial Literacy, Entrepreneurship, Career Preparation, Strategic Thinking & Problem Solving","EXTRACURRICULARS, CLUBS AND VOLUNTEER OPPORTUNITIES",133
Language & Cultural Programs,Alliance Française Vancouver,"Language, Cultural Education",5-18,K-12,Alliance Française Vancouver,"Vancouver, BC",Open to all,Offers French language classes and cultural events to promote French language and culture.,https://www.alliancefrancaise.ca/vancouver/,0,12,Canada,Humanities,"Cultural & Language Programs- Indigenous Studies, Language Learning, Cultural Exchange",ENRICHMENT/ALTERNATIVE COURSES AND PROGRAMS ,134
Club,Anime and Manga Clubs,"Arts, Literature",12-18,8-12,Vancouver Public Library,"Vancouver, BC",Open to teens,Provides a space for teens to discuss and share their interest in anime and manga.,https://www.vpl.ca/teens,8,12,Canada,Humanities,"Cultural & Language Programs- Indigenous Studies, Language Learning, Cultural Exchange","EXTRACURRICULARS, CLUBS AND VOLUNTEER OPPORTUNITIES",135
Extracurricular,ArtStarts in Schools,"Arts, Music",5-18,K-12,ArtStarts in Schools,Various BC Schools,Open to all students,"Provides innovative arts programs for young people, practical resources for teachers and artists, and leadership in advocacy for arts in education.",https://artstarts.com/,0,12,Canada,Arts,"Arts- Visual Arts, Performing Arts, Music","EXTRACURRICULARS, CLUBS AND VOLUNTEER OPPORTUNITIES",136
Club,Arts Umbrella,"Arts, Music",5-18,K-12,Arts Umbrella,"Vancouver and Surrey, BC",Open to all,"Offers programs in dance, theatre, and visual arts for children and youth.",https://www.artsumbrella.com/,0,12,Canada,Arts,"Arts- Visual Arts, Performing Arts, Music","EXTRACURRICULARS, CLUBS AND VOLUNTEER OPPORTUNITIES",137
Extracurricular,Badminton BC,Sports & Fitness,5-18,K-12,Badminton BC,Various BC locations,Open to all,"Provides opportunities for individuals to participate in badminton through clubs, tournaments, and events.",https://www.badmintonbc.com/,0,12,Canada,Sports,"Sports & Adventure- Sports, Outdoor Education, Adventure Programs","EXTRACURRICULARS, CLUBS AND VOLUNTEER OPPORTUNITIES",138
Extracurricular,Bard on the Beach,"Arts, Music",8-18,3-12,Bard on the Beach,"Vancouver, BC",Open to all,Offers Shakespearean theatre performances and educational programs for youth.,https://bardonthebeach.org/,3,12,Canada,Arts,"Arts- Visual Arts, Performing Arts, Music","EXTRACURRICULARS, CLUBS AND VOLUNTEER OPPORTUNITIES",139
Volunteer Opportunity,BC Children’s Hospital Youth Volunteers,Health & Social Services,16-18,10-12,BC Children’s Hospital,"Vancouver, BC",Ages 16 and up,"Provides volunteer opportunities for youth to support patients, families, and staff at the hospital.",http://www.bcchildrens.ca/our-services/support-services/volunteer-resources,10,12,Canada,Health,"Leadership & Personal Development- Leadership, Community Service, Financial Literacy, Entrepreneurship, Career Preparation, Strategic Thinking & Problem Solving","EXTRACURRICULARS, CLUBS AND VOLUNTEER OPPORTUNITIES",140
Club,BC Debate Club,"Public Speaking, Debate",9-18,4-12,BC Debate Club,Various BC locations,Open to all students,Offers programs to develop public speaking and debate skills among students.,https://bcdebate.com/,4,12,Canada,Humanities,"Leadership & Personal Development- Leadership, Community Service, Financial Literacy, Entrepreneurship, Career Preparation, Strategic Thinking & Problem Solving","EXTRACURRICULARS, CLUBS AND VOLUNTEER OPPORTUNITIES",141
Extracurricular,BC Parks Junior Rangers,Outdoor Education,12-18,7-12,BC Parks,BC Parks,Year-Round,Outdoor educational programs aimed at teaching youth environmental stewardship.,https://bcparks.ca/youth-rangers/,7,12,Canada,Outdoor & Environmental,"Sports & Adventure- Sports, Outdoor Education, Adventure Programs","EXTRACURRICULARS, CLUBS AND VOLUNTEER OPPORTUNITIES",142
Volunteer Opportunity,BC Parks Youth Rangers,Outdoor Education,12-18,7-12,BC Parks,BC Parks,Year-Round,Program that combines environmental education with hands-on work in BC Parks.,https://bcparks.ca/youth-rangers/,7,12,Canada,Outdoor & Adventure,"Sports & Adventure- Sports, Outdoor Education, Adventure Programs","EXTRACURRICULARS, CLUBS AND VOLUNTEER OPPORTUNITIES",143
Extracurricular,BC Robotics Clubs,STEM,9-18,4-12,Various BC locations,BC schools and community centers,Year-Round,Clubs aimed at encouraging STEM learning through robotics competitions and collaboration.,https://www.firstroboticscanada.org/,4,12,Canada,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming","EXTRACURRICULARS, CLUBS AND VOLUNTEER OPPORTUNITIES",144
Club,BC Soccer Clubs,Sports & Fitness,5-18,k-18,Various BC locations,Soccer clubs,Weekly,"Sports club network across BC, mainly focused on soccer, promoting teamwork and skill-building.",https://www.bcsoccer.net/,0,12,Canada,Sports,"Sports & Adventure- Sports, Outdoor Education, Adventure Programs","EXTRACURRICULARS, CLUBS AND VOLUNTEER OPPORTUNITIES",145
Volunteer Opportunity,BC SPCA Youth Volunteer Program,"Animal Care, Environmental Conservation",13-18,7-12,Various BC locations,SPCA Branches,Year-Round,Youth volunteer opportunities focused on animal care and conservation across SPCA branches in BC.,https://spca.bc.ca/ways-to-help/volunteer/youth-volunteers/,7,12,Canada,Animal Care & Conservation,"Leadership & Personal Development- Leadership, Community Service, Financial Literacy, Entrepreneurship, Career Preparation, Strategic Thinking & Problem Solving; Environmental & Natural Sciences- Environmental Science, Ecology, Nature Studies, Agriculture/Food Science","EXTRACURRICULARS, CLUBS AND VOLUNTEER OPPORTUNITIES",146
Volunteer Opportunity,Cadets Canada,"Leadership, Civic Engagement",12-18,6-12,Various BC Locations,Community Centers,Year-Round,"National youth organization focusing on leadership, citizenship, and physical fitness.",https://www.canada.ca/en/department-national-defence/services/cadets-junior-canadian-rangers.html,6,12,Canada,Leadership,"Leadership & Personal Development- Leadership, Community Service, Financial Literacy, Entrepreneurship, Career Preparation, Strategic Thinking & Problem Solving","EXTRACURRICULARS, CLUBS AND VOLUNTEER OPPORTUNITIES",147
Volunteer Opportunity,Canadian Red Cross,Health & Social Services,16-24,10-12,Various BC locations,Canadian Red Cross Branches,Year-Round,Volunteer opportunities focused on health services and community support in various locations.,https://www.redcross.ca/volunteer,10,12,Canada,Health & Social Services,"Leadership & Personal Development- Leadership, Community Service, Financial Literacy, Entrepreneurship, Career Preparation, Strategic Thinking & Problem Solving","EXTRACURRICULARS, CLUBS AND VOLUNTEER OPPORTUNITIES",148
Volunteer Opportunity,Canucks for Kids Fund (CFKF),Health & Social Services,16-24,10-12,Vancouver,Community centers,Year-Round,"Volunteer work and fund initiatives related to children’s health, education, and development.",https://www.nhl.com/canucks/community/canucks-for-kids-fund,10,12,Canada,Health & Social Services,"Leadership & Personal Development- Leadership, Community Service, Financial Literacy, Entrepreneurship, Career Preparation, Strategic Thinking & Problem Solving","EXTRACURRICULARS, CLUBS AND VOLUNTEER OPPORTUNITIES",149
Club,ChessBC,Extracurriclars ,5-18,k-12,"Vancouver, Victoria","Chess clubs, Zoom",Year-Round,Chess clubs providing lessons and competitions for all ages across BC.,https://www.chessbc.ca/,0,12,Canada,Academic Enrichment,"Leadership & Personal Development- Leadership, Community Service, Financial Literacy, Entrepreneurship, Career Preparation, Strategic Thinking & Problem Solving","EXTRACURRICULARS, CLUBS AND VOLUNTEER OPPORTUNITIES",150
Extracurricular,Christianne's Lyceum,"Arts, Music",5-18,K-12,Christianne's Lyceum,Vancouver,Year-Round,"Christianne's Lyceum offers programs in arts, music, literature, and creative expression for children and young adults.",https://christianneslyceum.com/,0,12,Canada,"Arts, Humanities","Arts- Visual Arts, Performing Arts, Music","EXTRACURRICULARS, CLUBS AND VOLUNTEER OPPORTUNITIES",151
Extracurricular,CoderDojo,STEM,5-18,K-12,Community Centers,Various BC locations,Weekly,"CoderDojo provides free coding classes for young people, focusing on building STEM skills in community settings.",https://coderdojo.com/,0,12,Canada,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming","EXTRACURRICULARS, CLUBS AND VOLUNTEER OPPORTUNITIES",152
Extracurricular,CoderDojo BC,STEM,5-18,K-12,CoderDojo locations,Various BC locations,Year-Round,"CoderDojo BC operates year-round coding workshops, encouraging STEM learning in a collaborative environment.",https://coderdojo.com/,0,12,Canada,STEM,"STEM - Mathematics, Science, Technology, Engineering, Computer Science, Robotics, Coding/Programming","EXTRACURRICULARS, CLUBS AND VOLUNTEER OPPORTUNITIES",153
